iter	Passed	Remaining
324	173615	146905
325	173999	146245
326	174454	145645
327	174986	145110
328	175473	144539
329	176020	144017
330	176605	143525
331	177158	143007
332	177659	142447
333	178128	141862
334	178597	141278
335	179113	140731
336	179588	140153
337	180213	139692
338	180854	139242
339	181342	138673
340	181914	138169
341	182490	137668
342	182988	137107
343	183479	136543
344	183977	135983
345	184686	135579
346	185275	135085
347	185838	134572
348	186346	134019
349	186873	133481
350	187397	132940
351	187905	132388
352	188467	131873
353	189096	131406
354	189634	130874
355	190203	130364
356	190808	129878
357	191344	129344
358	191810	128764
359	192357	128238
360	192983	127764
361	193417	127163
362	193984	126651
363	194417	126050
364	194953	125517
365	195402	124929
366	195875	124356
367	196319	123766
368	196761	123175
369	197341	122671
370	197899	122153
371	198402	121601
372	198894	121042
373	199404	120495
374	199987	119992
375	200418	119398
376	200892	118830
377	201507	118345
378	202065	117827
379	202534	117256
380	203152	116772
381	203763	116283
382	204276	115738
383	204800	115200
384	205370	114687
385	205982	114197
386	206493	113651
387	207096	113155
388	207709	112664
389	208219	112118
390	208924	111675
391	209580	111206
392	210159	110694
393	210762	110195
394	211356	109691
395	211863	109141
396	212453	108634
397	213065	108138
398	213627	107616
399	214200	107100
400	214702	106548
401	215315	106051
402	215776	105478
403	216296	104936
404	216980	104472
405	217626	103989
406	218149	103446
407	218617	102878
408	219095	102316
409	219707	101815
410	220294	101303
411	220887	100793
412	221440	100264
413	222030	99752
414	222630	99244
415	223336	98783
416	223886	98252
417	224458	97730
418	224901	97153
419	225379	96591
420	226028	96102
421	226655	95603
422	227132	95041
423	227697	94515
424	228343	94023
425	228984	93528
426	229516	92988
427	230039	92445
428	230589	91913
429	231201	91405
430	231805	90893
431	232283	90332
432	232883	89818
433	233411	89277
434	233983	88752
435	234578	88236
436	235180	87721
437	235698	87176
438	236205	86626
439	236760	86094
440	237361	85579
441	237786	85000
442	238321	84461
443	239052	83991
444	239594	83454
445	240364	82995
446	241040	82503
447	241566	81960
448	242037	81397
449	242818	80939
450	243409	80416
451	243960	79880
452	244601	79373
453	245258	78871
454	246474	78546
455	247708	78223
456	249054	77931
457	250658	77714
458	252183	77468
459	253311	77094
460	253838	76537
461	254446	76003
462	255014	75457
463	255553	74903
464	256210	74383
465	256819	73849
466	257385	73302
467	257936	72751
468	258417	72180
469	258918	71615
470	259524	71079
471	260227	70570
472	260879	70045
473	261559	69528
474	262121	68979
475	262617	68413
476	263285	67891
477	263823	67335
478	264386	66786
479	264740	66185
480	265273	65628
481	265720	65051
482	266153	64471
483	266681	63915
484	267178	63351
485	267744	62804
486	268294	62253
487	268889	61712
488	269398	61151
489	270042	60621
490	270530	60056
491	271106	59511
492	271619	58951
493	272270	58422
494	272787	57864
495	273280	57300
496	273692	56720
497	274188	56159
498	274713	55603
499	275288	55057
500	275888	54516
501	276406	53959
502	276881	53394
503	277419	52841
504	277804	52260
505	278293	51698
506	278891	51157
507	279395	50599
508	279801	50023
509	280391	49480
510	280895	48923
511	281403	48366
512	282008	47826
513	282623	47287
514	283108	46726
515	283691	46182
516	284169	45620
517	284730	45073
518	285286	44524
519	285823	43972
520	286385	43424
521	287003	42885
522	287509	42329
523	288018	41773
524	288592	41227
525	289110	40673
526	289493	40100
527	289896	39531
528	290415	38978
529	290978	38431
530	291446	37871
531	291967	37319
532	292514	36770
533	293132	36229
534	293633	35675
535	294221	35130
536	294727	34576
537	295178	34016
538	295734	33469
539	296228	32914
540	296808	32369
541	297276	31811
542	297650	31245
543	298115	30688
544	298600	30133
545	299156	29586
546	299655	29034
547	300256	28491
548	300659	27930
549	301228	27384
550	301734	26832
551	302320	26288
552	302922	25745
553	303551	25204
554	304177	24663
555	304736	24115
556	305321	23570
557	305873	23022
558	306464	22477
559	307111	21936
560	307702	21391
561	308266	20843
562	308804	20294
563	309332	19744
564	309754	19188
565	310315	18640
566	310836	18091
567	311287	17537
568	311674	16980
569	312228	16433
570	312759	15884
571	313240	15333
572	313804	14786
573	314415	14241
574	314936	13692
575	315403	13141
576	315952	12594
577	316518	12047
578	316928	11494
579	317501	10948
580	317962	10398
581	318513	9850
582	319122	9305
583	319609	8756
584	320156	8209
585	320705	7661
586	321184	7113
587	321791	6567
588	322249	6018
589	322842	5471
590	323288	4923
591	323800	4375
592	324217	3827
593	324726	3280
594	325236	2733
595	325733	2186
596	326187	1639
597	326683	1092
598	327189	546
599	327699	0
