iter	Logloss
550	0.6129072135
551	0.6129053897
552	0.6129036608
553	0.6128953652
554	0.6128900518
555	0.6128810923
556	0.6128668973
557	0.6128633049
558	0.6128623867
559	0.6128581073
560	0.6128564717
561	0.6128548898
562	0.6128483749
563	0.6128450779
564	0.6128426984
565	0.6128392824
566	0.6128349204
567	0.6128305271
568	0.6128260312
569	0.6128240029
570	0.6128170344
571	0.6128131165
572	0.6128098046
573	0.6128078594
574	0.6128033752
575	0.6128000046
576	0.6127988121
577	0.6127928759
578	0.6127919352
579	0.6127853076
580	0.6127751467
581	0.6127735456
582	0.6127672636
583	0.6127644338
584	0.6127632575
585	0.6127615666
586	0.612758251
587	0.612757689
588	0.6127501812
589	0.6127445799
590	0.6127424013
591	0.6127414243
592	0.6127368647
593	0.6127342818
594	0.6127312756
595	0.612724268
596	0.6127234306
597	0.6127210974
598	0.6127186457
599	0.6127159825
